StockCode,Description,Revenue
22423,REGENCY CAKESTAND 3 TIER,164459.49
47566,PARTY BUNTING,98243.88
85123A,WHITE HANGING HEART T-LIGHT HOLDER,97659.94
85099B,JUMBO BAG RED RETROSPOT,92175.79
23084,RABBIT NIGHT LIGHT,66661.63
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,63715.240000000005
84879,ASSORTED COLOUR BIRD ORNAMENT,58792.42
79321,CHILLI LIGHTS,53746.66
23298,SPOTTY BUNTING,42030.670000000006
22386,JUMBO BAG PINK POLKADOT,41584.43
21137,BLACK RECORD COVER FRAME,40578.21
22502,PICNIC BASKET WICKER 60 PIECES,39619.5
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,37378.79
23284,DOORMAT KEEP CALM AND COME IN,36532.39
22960,JAM MAKING SET WITH JARS,36069.34
82484,WOOD BLACK BOARD ANT WHITE FINISH,35795.97
20725,LUNCH BAG RED RETROSPOT,34717.659999999996
22197,POPCORN HOLDER,33959.26
22114,HOT WATER BOTTLE TEA AND SYMPATHY,32663.34
22178,VICTORIAN GLASS HANGING T-LIGHT,32508.42
